COD_MUNICIPIO,MUNICIPIO,DEPARTAMENTO,AÑO,TIPO_DELITO,CANTIDAD,LONGITUD,LATITUD,CASOS_AÑO_ANT,CASOS_2_AÑOS_ANT,PROM_3_AÑOS,TENDENCIA_PCT,AÑOS_HISTORIAL,TOTAL_MUNICIPIO,PROP_TIPO_DELITO,RIESGO_TARGET
68615,Rionegro,SANTANDER,2013,DELITO_SEXUAL,9,"-73,150177","7,265014",11.0,2.0,7.333333333333333,-18.181818181818176,4,27,33.33,2
68502,Onzaga,SANTANDER,2013,DELITO_SEXUAL,1,"-72,816766","6,344104",4.0,2.0,2.3333333333333335,-75.0,4,5,20.0,0
68077,Barbosa,SANTANDER,2013,DELITO_SEXUAL,20,"-73,615965","5,932531",17.0,22.0,19.666666666666668,17.647058823529417,4,60,33.33,2
68895,Zapatoca,SANTANDER,2013,DELITO_SEXUAL,1,"-73,268034","6,814387",1.0,6.0,1.0,0.0,2,2,50.0,0
68432,Málaga,SANTANDER,2014,DELITO_SEXUAL,5,"-72,732089","6,703081",8.0,10.0,7.666666666666667,-37.5,5,29,17.24,1
68615,Rionegro,SANTANDER,2014,DELITO_SEXUAL,11,"-73,150177","7,265014",9.0,11.0,10.333333333333334,22.222222222222232,5,27,40.74,2
68867,Vetas,SANTANDER,2014,DELITO_SEXUAL,2,"-72,871041","7,30981",1.0,2.0,1.5,100.0,2,6,33.33,1
68327,Güepsa,SANTANDER,2014,DELITO_SEXUAL,3,"-73,575146","6,025013",3.0,5.0,3.6666666666666665,0.0,3,15,20.0,1
68720,Santa Helena del Opón,SANTANDER,2014,DELITO_SEXUAL,2,"-73,616716","6,339565",3.0,3.0,2.6666666666666665,-33.333333333333336,4,3,66.67,1
68861,Vélez,SANTANDER,2014,DELITO_SEXUAL,13,"-73,672447","6,009275",15.0,8.0,12.0,-13.33333333333333,5,36,36.11,2
68209,Confines,SANTANDER,2014,DELITO_SEXUAL,2,"-73,240554","6,357327",1.0,7.0,3.3333333333333335,100.0,4,15,13.33,1
68081001,Barrancabermeja,SANTANDER,2014,DELITO_SEXUAL,6,,,3.0,5.0,4.666666666666667,100.0,4,12,50.0,2
68207,Concepción,SANTANDER,2014,DELITO_SEXUAL,1,"-72,694567","6,768908",2.0,2.0,1.6666666666666667,-50.0,3,1,100.0,0
68500,Oiba,SANTANDER,2014,DELITO_SEXUAL,6,"-73,299791","6,26521",9.0,10.0,8.333333333333334,-33.333333333333336,5,14,42.86,2
68547,Piedecuesta,SANTANDER,2014,DELITO_SEXUAL,77,"-73,054795","6,997245",96.0,87.0,86.66666666666667,-19.791666666666664,5,387,19.9,2
68377,La Belleza,SANTANDER,2014,DELITO_SEXUAL,2,"-73,965494","5,85925",2.0,7.0,3.6666666666666665,0.0,5,6,33.33,1
68522,Palmar,SANTANDER,2014,DELITO_SEXUAL,1,"-73,29109","6,537789",4.0,1.0,2.0,-75.0,4,2,50.0,0
68689,San Vicente de Chucurí,SANTANDER,2014,DELITO_SEXUAL,25,"-73,411024","6,880383",12.0,24.0,20.333333333333332,108.33333333333334,5,64,39.06,2
68549,Pinchote,SANTANDER,2014,DELITO_SEXUAL,1,"-73,174209","6,531552",2.0,1.0,1.3333333333333333,-50.0,5,2,50.0,0
68533,Páramo,SANTANDER,2014,DELITO_SEXUAL,4,"-73,17022","6,416811",2.0,1.0,2.3333333333333335,100.0,4,5,80.0,1
68755,Socorro,SANTANDER,2014,DELITO_SEXUAL,21,"-73,261198","6,46387",18.0,19.0,19.333333333333332,16.666666666666675,5,75,28.0,2
68686,San Miguel,SANTANDER,2014,DELITO_SEXUAL,1,"-72,644123","6,575315",1.0,1.0,1.0,0.0,2,1,100.0,0
68211,Contratación,SANTANDER,2014,DELITO_SEXUAL,2,"-73,474426","6,290561",2.0,2.0,2.0,0.0,5,16,12.5,1
68669,San Andrés,SANTANDER,2014,DELITO_SEXUAL,4,"-72,848864","6,811511",2.0,2.0,2.6666666666666665,100.0,4,9,44.44,1
68684,San José de Miranda,SANTANDER,2014,DELITO_SEXUAL,3,"-72,733616","6,658995",1.0,2.0,2.0,200.0,4,8,37.5,1
68682,San Joaquín,SANTANDER,2014,DELITO_SEXUAL,3,"-72,867638","6,427548",1.0,1.0,1.6666666666666667,200.0,4,6,50.0,1
68780,Suratá,SANTANDER,2014,DELITO_SEXUAL,1,"-72,984232","7,36658",3.0,6.0,3.3333333333333335,-66.66666666666667,4,1,100.0,0
68820,Tona,SANTANDER,2014,DELITO_SEXUAL,2,"-72,967023","7,201417",2.0,2.0,2.0,0.0,4,4,50.0,1
68190002,Cimitarra,SANTANDER,2014,DELITO_SEXUAL,1,,,1.0,1.0,1.0,0.0,5,1,100.0,0
68190,Cimitarra,SANTANDER,2014,DELITO_SEXUAL,20,"-73,953011","6,320886",19.0,33.0,24.0,5.263157894736836,5,61,32.79,2
68320,Guadalupe,SANTANDER,2014,DELITO_SEXUAL,3,"-73,419292","6,245847",5.0,2.0,3.3333333333333335,-40.0,5,6,50.0,1
68092,Betulia,SANTANDER,2014,DELITO_SEXUAL,3,"-73,283669","6,899525",2.0,4.0,3.0,50.0,4,6,50.0,1
68101,Bolívar,SANTANDER,2014,DELITO_SEXUAL,6,"-73,771346","5,988953",2.0,5.0,4.333333333333333,200.0,5,9,66.67,2
68464,Mogotes,SANTANDER,2014,DELITO_SEXUAL,3,"-72,969807","6,475246",9.0,1.0,4.333333333333333,-66.66666666666667,5,14,21.43,1
68229,Curití,SANTANDER,2014,DELITO_SEXUAL,4,"-73,069383","6,605099",3.0,2.0,3.0,33.33333333333333,5,18,22.22,1
68575,Puerto Wilches,SANTANDER,2014,DELITO_SEXUAL,2,"-73,899909","7,344057",2.0,12.0,5.333333333333333,0.0,5,28,7.14,1
68425,Macaravita,SANTANDER,2014,DELITO_SEXUAL,1,"-72,593105","6,50658",1.0,4.0,2.0,0.0,3,1,100.0,0
68418,Los Santos,SANTANDER,2014,DELITO_SEXUAL,11,"-73,102739","6,755203",7.0,7.0,8.333333333333334,57.14285714285714,5,11,100.0,2
68266,Enciso,SANTANDER,2014,DELITO_SEXUAL,1,"-72,699647","6,668034",2.0,2.0,1.6666666666666667,-50.0,3,2,50.0,0
68572,Puente Nacional,SANTANDER,2014,DELITO_SEXUAL,3,"-73,677567","5,878381",7.0,11.0,7.0,-57.14285714285714,5,24,12.5,1
68264,Encino,SANTANDER,2014,DELITO_SEXUAL,2,"-73,098749","6,137429",2.0,2.0,2.0,0.0,2,4,50.0,1
68498,Ocamonte,SANTANDER,2014,DELITO_SEXUAL,4,"-73,122563","6,339988",2.0,1.0,2.3333333333333335,100.0,4,16,25.0,1
68307,Girón,SANTANDER,2014,DELITO_SEXUAL,103,"-73,166832","7,070432",137.0,112.0,117.33333333333333,-24.817518248175187,5,660,15.61,2
68276,Floridablanca,SANTANDER,2014,DELITO_SEXUAL,135,"-73,099104","7,072329",152.0,157.0,148.0,-11.184210526315786,5,1067,12.65,2
68770,Suaita,SANTANDER,2014,DELITO_SEXUAL,2,"-73,44165","6,101329",7.0,5.0,4.666666666666667,-71.42857142857143,5,16,12.5,1
68655,Sabana de Torres,SANTANDER,2014,DELITO_SEXUAL,21,"-73,49906","7,391919",19.0,27.0,22.333333333333332,10.526315789473696,5,56,37.5,2
68397,La Paz,SANTANDER,2014,DELITO_SEXUAL,3,"-73,58959","6,178509",2.0,2.0,2.3333333333333335,50.0,5,3,100.0,1
68406,Lebrija,SANTANDER,2014,DELITO_SEXUAL,30,"-73,219524","7,113351",23.0,19.0,24.0,30.434782608695656,5,76,39.47,2
68255,El Playón,SANTANDER,2014,DELITO_SEXUAL,14,"-73,20287","7,470715",9.0,9.0,10.666666666666666,55.55555555555556,5,26,53.85,2
68167,Charalá,SANTANDER,2014,DELITO_SEXUAL,3,"-73,146873","6,284339",3.0,2.0,2.6666666666666665,0.0,5,15,20.0,1
68152,Carcasí,SANTANDER,2014,DELITO_SEXUAL,2,"-72,627099","6,629016",2.0,2.0,2.0,0.0,2,6,33.33,1
68573,Puerto Parra,SANTANDER,2014,DELITO_SEXUAL,3,"-74,056129","6,650785",2.0,1.0,2.0,50.0,4,8,37.5,1
68162,Cerrito,SANTANDER,2014,DELITO_SEXUAL,2,"-72,694851","6,840405",1.0,3.0,2.0,100.0,4,5,40.0,1
68770003,Suaita,SANTANDER,2014,DELITO_SEXUAL,2,,,2.0,2.0,2.0,0.0,4,3,66.67,1
68245,El Guacamayo,SANTANDER,2014,DELITO_SEXUAL,2,"-73,496908","6,245111",2.0,1.0,1.6666666666666667,0.0,5,3,66.67,1
68235,El Carmen de Chucurí,SANTANDER,2014,DELITO_SEXUAL,4,"-73,51066","6,700038",15.0,12.0,10.333333333333334,-73.33333333333334,5,11,36.36,1
68250,El Peñón,SANTANDER,2014,DELITO_SEXUAL,1,"-73,815532","6,05537",1.0,3.0,1.6666666666666667,0.0,3,4,25.0,0
68147,Capitanejo,SANTANDER,2014,DELITO_SEXUAL,1,"-72,695427","6,527394",4.0,4.0,2.5,-75.0,2,5,20.0,0
68296,Galán,SANTANDER,2014,DELITO_SEXUAL,1,"-73,287769","6,638423",1.0,2.0,1.3333333333333333,0.0,4,3,33.33,0
68298,Gambita,SANTANDER,2014,DELITO_SEXUAL,2,"-73,344185","5,945998",6.0,3.0,3.6666666666666665,-66.66666666666667,5,3,66.67,1
68444,Matanza,SANTANDER,2014,DELITO_SEXUAL,2,"-73,015566","7,323175",2.0,1.0,1.6666666666666667,0.0,4,5,40.0,1
68385,Landázuri,SANTANDER,2014,DELITO_SEXUAL,2,"-73,811359","6,218812",5.0,10.0,5.666666666666667,-60.0,5,5,40.0,1
68318,Guaca,SANTANDER,2014,DELITO_SEXUAL,1,"-72,856322","6,876563",1.0,3.0,1.6666666666666667,0.0,3,4,25.0,0
68745,Simacota,SANTANDER,2014,DELITO_SEXUAL,4,"-73,337368","6,443469",3.0,6.0,4.333333333333333,33.33333333333333,5,19,21.05,1
68081,Barrancabermeja,SANTANDER,2014,DELITO_SEXUAL,95,"-73,849243","7,064857",59.0,76.0,76.66666666666667,61.01694915254237,5,510,18.63,2
68895,Zapatoca,SANTANDER,2014,DELITO_SEXUAL,2,"-73,268034","6,814387",1.0,1.0,1.3333333333333333,100.0,3,5,40.0,1
68855,Valle de San José,SANTANDER,2014,DELITO_SEXUAL,1,"-73,143507","6,448028",2.0,2.0,1.6666666666666667,-50.0,5,9,11.11,0
68679,San Gil,SANTANDER,2014,DELITO_SEXUAL,26,"-73,134776","6,551952",21.0,32.0,26.333333333333332,23.809523809523814,5,133,19.55,2
68077,Barbosa,SANTANDER,2014,DELITO_SEXUAL,13,"-73,615965","5,932531",20.0,17.0,16.666666666666668,-35.0,5,82,15.85,2
68872,Villanueva,SANTANDER,2014,DELITO_SEXUAL,1,"-73,174307","6,670078",2.0,2.0,1.5,-50.0,2,13,7.69,0
68368,Jesús María,SANTANDER,2014,DELITO_SEXUAL,4,"-73,783396","5,876497",1.0,5.0,3.3333333333333335,300.0,4,8,50.0,1
68705,Santa Bárbara,SANTANDER,2014,DELITO_SEXUAL,1,"-72,907445","6,990996",2.0,1.0,1.3333333333333333,-50.0,3,1,100.0,0
68001,Bucaramanga (CT),SANTANDER,2014,DELITO_SEXUAL,296,"-73,132562","7,11647",376.0,407.0,359.6666666666667,-21.276595744680847,5,1938,13.59,2
68079,Barichara,SANTANDER,2014,DELITO_SEXUAL,4,"-73,223047","6,634111",2.0,3.0,3.0,100.0,5,8,50.0,1
68051,Aratoca,SANTANDER,2014,DELITO_SEXUAL,2,"-73,01786","6,694418",2.0,5.0,3.0,0.0,4,7,28.57,1
68217,Coromoro,SANTANDER,2015,DELITO_SEXUAL,2,"-73,040816","6,294999",5.0,3.0,3.3333333333333335,-60.0,4,5,40.0,1
68669,San Andrés,SANTANDER,2015,DELITO_SEXUAL,7,"-72,848864","6,811511",4.0,2.0,4.333333333333333,75.0,5,9,77.78,2
68684,San José de Miranda,SANTANDER,2015,DELITO_SEXUAL,3,"-72,733616","6,658995",3.0,1.0,2.3333333333333335,0.0,5,8,37.5,1
68780,Suratá,SANTANDER,2015,DELITO_SEXUAL,5,"-72,984232","7,36658",1.0,3.0,3.0,400.0,5,6,83.33,2
68686,San Miguel,SANTANDER,2015,DELITO_SEXUAL,1,"-72,644123","6,575315",1.0,1.0,1.0,0.0,3,2,50.0,0
